"LNR";"Family";"Genus";"Species";"AuthorYear";"Collection";"KatalogNrPers";"Specimens";"Specimenbased";"MaleCount";"FemaleCount";"JuvenileCount";"Leg";"Det";"Date";"Month";"Year";"Region";"Locality";"LatPrec";"LongPrec";"RadiusNew";"NotesF";"NotesonLoc";"NotesonSpecimen";"NotesonTube";"UTM10"
;"Lycosidae";"Trochosa";"spinipalpis";"(F. O. P.-Cambridge, 1895)";"ZMUC";"JL06011";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Arctosa";"leopardus";"(Sundevall, 1833)";"ZMUC";"JL06012";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pardosa";"prativaga";"(L. Koch, 1870)";"ZMUC";"JL06013";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pardosa";"pullata";"(Clerck, 1757)";"ZMUC";"JL06014";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pardosa";"sphagnicola";"(Dahl, 1908)";"ZMUC";"JL06015";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pardosa";"saltans";"Tpfer-Hofmann, 2000";"ZMUC";"JL06016";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pardosa";"amentata";"(Clerck, 1757)";"ZMUC";"JL06017";3;0;3;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Araneidae";"Larinioides";"cornutus";"(Clerck, 1757)";"ZMUC";"JL06018";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Linyphiidae";"Poeciloneta";"variegata";"(Blackwall, 1841) ";"ZMUC";"JL06019";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Linyphiidae";"Neriene";"peltata";"(Wider, 1834)";"ZMUC";"JL06020";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Hahniidae";"Cryphoeca";"silvicola";"(C. L. Koch, 1834) ";"ZMUC";"JL06021";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Linyphiidae";"Microlinyphia";"pusilla";"(Sundevall, 1830) ";"ZMUC";"JL06022";3;0;1;2;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Linyphiidae";"Walckenaeria";"dysderoides";"(Wider, 1834)";"ZMUC";"JL06023";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Linyphiidae";"Walckenaeria";"cuspidata";"Blackwall, 1833";"ZMUC";"JL06024";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Linyphiidae";"Hypomma";"cornutum";"(Blackwall, 1833)";"ZMUC";"JL06025";2;0;2;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
